Date,Open,High,Low,Close,Volume,Adj Close,,SMA 3,SMA 5,SMA 10,SMA 25,EMA 3,EMA 5,EMA 10,EMA 25,AD,ADOSC,OBV,MACD,MACDDef,MOM3,MOM5,MOM10,ROC3,ROC5,ROC 10,RSI3,RSI5,RSI10,RSI14,STOCH,WILLR3,WILLR5,WILLR10,WILLR14,BBANDs,BBANDf,,% high,Output - Training,1 if %hi > 2
19-06-2009,1725,1785,1720,1771.1,147700,1697.98,,1781.666667,1788.202802,1795.580889,1827.242,1785.406463,1788.202802,1795.580889,1843.646694,5526522.796,86025.47761,7045500,-12.64835408,-47.75363877,11.1,-53.7,-25,0.625739895,-2.920541687,-1.38121547,44.29545039,43.57418204,40.71629577,39.03433305,51.5033058,-20.76923077,-26.95035461,157432.5958,-44.85733245,1803.723686,1808.606488,,2.923976608,1,
18-06-2009,1710,1760,1694,1721.45,166000,1650.38,,1778.333333,1778.801868,1789.111636,1818.602,1772.703232,1778.801868,1789.111636,1837.212333,5498604.614,76756.78582,6879500,-15.07150815,-47.38997768,-10,-37.7,-40,-0.564971751,-2.097124103,-2.222222222,23.42985284,31.96928607,36.07865584,36.05875542,49.8081182,-71.40625,-71.40625,140009.6375,-81.02971666,1797.193416,1800.215284,,0.270114943,0,
17-06-2009,1740,1744.7,1672,1710.5,159000,1639.88,,1763.233333,1767.434579,1781.036793,1809.51,1758.701616,1767.434579,1781.036793,1830.095999,5508009.015,68979.46827,6720500,-18.12562256,-47.78551412,-45.3,-29.2,-68.2,-2.530726257,-1.646090535,-3.761928402,16.35673375,26.55832795,33.48513505,34.33378251,44.75683801,-65.92920354,-67.37288136,122590.7176,-76.90461908,1802.986295,1800.480873,,1.865452409,0,
16-06-2009,1702,1733.75,1685.35,1724.15,83000,1652.96,,1746.15,1756.206386,1772.439194,1797.86,1746.225808,1756.206386,1772.439194,1822.684769,5558083.396,75459.73493,6637500,-20.8199529,-48.42434735,-51.25,-36.25,-65.25,-2.871148459,-2.048022599,-3.627015008,12.35326032,23.06578206,31.67450628,33.11289387,35.13859463,-40.73863636,-55.80508475,63308.34633,-68.71625675,1806.616958,1800.133343,,2.901533378,1,
15-06-2009,1724.95,1775,1690,1720.35,143700,1649.32,,1751.15,1762.470924,1772.904795,1789.1,1760.612904,1762.470924,1772.904795,1819.01671,5517002.102,58179.45635,6781200,-15.72689177,-45.08241501,15,-15,-55,0.852272727,-0.837988827,-3.005464481,63.22094768,52.48754573,44.28463848,41.54558577,39.86988151,-53.05825243,-57.21238938,110656.2402,-70.99580084,1797.348168,1800.129092,,0.509626274,0,
12-06-2009,1766,1775,1717,1727.95,92700,1656.61,,1761.25,1766.647283,1773.285742,1785.18,1767.806452,1766.647283,1773.285742,1815.630809,5459304.343,27462.83225,6781200,-11.96677713,-41.95033224,30.3,-10,-63.7,1.736688256,-0.56022409,-3.464404199,63.22094768,52.48754573,44.28463848,41.54558577,47.10097141,-52.48187395,-45.67961165,104245.7569,-66.43671266,1790.510384,1799.467666,,0,0,
11-06-2009,1854,1854,1727.15,1751.55,146400,1679.23,,1801.333333,1795.764855,1787.961061,1786.54,1810.903226,1795.764855,1787.961061,1818.582285,5369225.352,-16261.17766,6927600,2.109488045,-32.71636047,120.25,94,56.3,6.935832733,5.340909091,3.131779496,89.49432401,77.8433236,61.21099869,54.33336989,46.93893006,-62.4695122,-56.29120879,100728.9199,-56.29120879,1860.630606,1879.905461,,2.569832402,1,
10-06-2009,1790,1836,1762.05,1803.25,289300,1728.8,,1821.666667,1809.17657,1796.695414,1787.22,1823.451613,1809.17657,1796.695414,1819.922109,5402282.62,-22151.76197,6638300,8.070079456,-26.54482862,61,91.3,62.1,3.436619718,5.232991345,3.500761035,71.93225433,67.57271314,56.83939319,51.56536909,55.97909108,-37.04379562,-30.09190631,200310.8014,-27.88461538,1882.901007,1897.327577,,4.651162791,1,
09-06-2009,1720,1800,1720,1795.55,226400,1721.42,,1830,1806.117713,1797.296248,1786.644,1811.725806,1806.117713,1797.296248,1818.389639,5603495.62,41474.56826,6411900,6.247172995,-24.27887258,25,66.25,30,1.408450704,3.821196828,1.694915254,45.27714405,50.81232816,49.05411047,46.46670791,59.325547,-43.61940299,-35.6402439,156478.0488,-32.11538462,1872.137353,1870.255066,,2.647058824,1,
08-06-2009,1700,1745,1681,1733.2,233800,1661.64,,1793.666667,1785.745142,1787.787839,1785.466,1778.362903,1785.745142,1787.787839,1812.744282,5751081.87,110692.3676,6178100,-2.981021695,-26.61433297,-109,-30,-45,-5.879180151,-1.690140845,-2.51396648,24.48476457,34.4799491,39.80015511,39.96506108,54.8137534,-66.32258065,-69.8265896,161634.8432,-66.37362637,1881.20606,1864.951203,,3.660019455,1,
05-06-2009,1644.8,1705,1633.3,1690.55,217100,1620.75,,1750,1758.830095,1772.735505,1782.986,1741.681452,1758.830095,1772.735505,1804.456261,5880675.734,170180.2086,5961000,-14.22354817,-31.33169557,-131,-70,-80,-7.135076253,-3.943661972,-4.481792717,16.31260236,26.68303294,34.53547255,36.01792462,40.1577856,-65.65686863,-74.0598097,131689.2016,-74.0598097,1899.506054,1870.336148,,0,0,
04-06-2009,1650,1650,1602,1627,284800,1559.82,,1700,1722.553397,1750.419958,1780.506,1695.840726,1722.553397,1750.419958,1792.57501,5892542.4,182820.9731,5676200,-28.38331752,-39.05804297,-150,-204,-110,-8.333333333,-11.00323625,-6.25,9.661627623,19.21496133,28.72949217,31.42246188,22.26578713,-82.51748252,-89.31623932,124645.815,-90.07936508,1879.583685,1854.937081,,0.353148911,0,
03-06-2009,1699,1705,1622,1645.9,185000,1565,,1686.666667,1716.702264,1742.161784,1779.386,1700.420363,1716.702264,1742.161784,1785.838471,5814084.569,146408.251,5861200,-28.03691844,-40.27887875,-40,-131,-39.7,-2.29226361,-7.135076253,-2.27546283,43.94422257,40.15263148,39.94713011,39.7068967,19.59855605,-57.37864078,-77.82828283,80681.05727,-82.57936508,1820.478641,1816.180905,,1.293768546,0,
02-06-2009,1685,1706.8,1625,1682.3,148700,1599.61,,1687.266667,1713.40151,1735.732369,1776.658,1703.610181,1713.40151,1735.732369,1779.758588,5873709.997,137174.0235,6009900,-26.4233305,-40.63276572,1.8,-93.2,-26.95,0.105571848,-5.177777778,-1.55443403,44.96941787,40.78051899,40.28888446,39.96251854,29.66977467,-23.3778626,-43.84615385,64689.86784,-68.13492063,1762.979416,1774.020926,,4.984423676,1,
01-06-2009,1605,1685,1605,1676.85,232500,1594.43,,1698.933333,1703.93434,1726.508302,1771.298,1694.305091,1703.93434,1726.508302,1772.469466,6058838.122,179830.4226,5777400,-27.47120194,-42.18600747,35,-60,-90,2.121212121,-3.438395415,-5.070422535,33.75455705,35.19113376,37.42298964,37.86851565,49.91577302,-29.42043222,-28.57824427,101606.1674,-70.29761905,1733.779737,1747.354077,,0.91875,0,
29-05-2009,1600,1614.7,1579.8,1602,185000,1523.26,,1668.833333,1674.18956,1706.17952,1763.486,1654.502545,1674.18956,1706.17952,1760.333353,6109196.288,196955.6003,5592400,-37.03433948,-48.53015975,-90.3,-90.3,-160.3,-5.296187683,-5.296187683,-9.030985915,15.29894993,22.6676225,29.82202856,32.03838195,48.35197228,-82.51968504,-82.51968504,72676.98413,-91.90371991,1742.930758,1744.820318,,1.62601626,0,
28-05-2009,1599,1625,1561,1575.8,190600,1498.35,,1641.566667,1657.79304,1691.419607,1756.486,1639.751273,1657.79304,1691.419607,1749.923095,6006748.788,153459.3685,5783000,-39.90628739,-52.12594676,-81.8,-25,-229,-4.792594329,-1.515151515,-12.35167206,24.38503573,27.39940675,32.0681982,33.65016528,33.01765411,-88.06451613,-89.84910837,72545.73405,-94.94880546,1746.550893,1737.043933,,0,0,
27-05-2009,1628.7,1628.7,1555.05,1584.6,159700,1506.71,,1622.8,1648.09536,1680.016042,1749.118,1634.225636,1648.09536,1680.016042,1740.598242,5975199.094,111676.0646,5942700,-39.50722335,-54.05397422,-56.3,-76.3,-207.3,-3.341246291,-4.475073314,-11.29084967,28.51691015,29.34077078,32.9250858,34.25337124,15.70134124,-59.87780041,-80.52718287,70428.18912,-90.11540391,1725.553057,1721.608417,,2.838283828,1,
26-05-2009,1515,1558,1502,1543.2,215600,1467.35,,1603.9,1618.063573,1657.831307,1739.478,1596.112818,1618.063573,1657.831307,1726.552223,6076839.094,116770.5253,5727100,-47.7503587,-60.58842338,-56.7,-148.8,-242,-3.511488202,-8.718068901,-13.44444444,11.11248788,17.90494542,25.97005858,28.85514155,17.37912332,-67.48224152,-77.4863388,105973.7364,-88.29545455,1703.134378,1698.917951,,1.052631579,0,
25-05-2009,1520,1536,1491,1507.95,186200,1433.83,,1574.233333,1590.709049,1635.68016,1727.718,1566.056409,1590.709049,1635.68016,1711.89436,6030909.76,93625.2418,5540900,-53.99103918,-66.77252544,-89,-149,-209,-5.476923077,-8.84272997,-11.97707736,8.648703583,15.54783844,24.20242759,27.40767612,18.09861551,-87.69063181,-87.69063181,92780.08549,-95.33057851,1668.595849,1666.824897,,1.73448966,0,
22-05-2009,1499,1525,1485.05,1519.4,230800,1444.72,,1539.666667,1568.806033,1615.556495,1715.17,1545.528205,1568.806033,1615.556495,1697.517871,6197004.879,128493.778,5310100,-57.17957664,-71.73417207,-103.7,-89.7,-180,-6.367041199,-5.555211494,-10.55718475,7.415601504,14.36583891,23.32059568,26.68683953,19.57843873,-52.91295408,-76.08771319,115209.052,-90.21228095,1662.597399,1656.863432,,1.162337662,0,
21-05-2009,1540,1557.9,1495,1502.65,247400,1428.79,,1539.633333,1565.170688,1605.073496,1705.578,1551.714102,1565.170688,1605.073496,1686.778035,6009783.258,71506.41069,5557500,-52.09788217,-72.17951719,-0.1,-67.1,-92.1,-0.006418485,-4.129230769,-5.581818182,43.53405212,33.31835299,31.60245925,32.41241855,16.15788546,-75.8407687,-87.74799861,120349.351,-94.4118114,1633.357541,1637.40823,,3.943115708,1,
20-05-2009,1547,1608,1518.2,1534.1,406800,1458.7,,1563.633333,1579.447126,1605.605587,1698.942,1579.857051,1579.447126,1605.605587,1680.718186,5747039.382,-41907.50996,5964300,-39.70305362,-67.7092945,72,-20.7,-97,4.6875,-1.270952293,-5.68914956,70.14114869,53.08340965,42.17057444,40.085909,25.35285139,-60.10573404,-60.10573404,198429.1942,-81.13098673,1614.026002,1636.493128,,1.104972376,0,
19-05-2009,1810,1830,1555,1563.75,555400,1486.89,,1665.3,1662.96475,1646.404572,1701.342,1704.928526,1662.96475,1646.404572,1692.201402,5226983.019,-249966.8196,6519700,1.220435428,-45.72596568,305,272,123.2,20,17.45827985,7.218186079,92.77369803,82.24059044,67.15597004,61.13975737,24.98705602,-79.47761194,-77.18509929,169106.461,-77.18509929,1837.317846,1888.902597,,0,0,
18-05-2009,1594.3,1594.3,1594.3,1594.3,0,1515.94,,1677.433333,1640.0765,1636.931013,1693.514,1649.614263,1640.0765,1636.931013,1684.670525,5226983.019,-312357.7354,6519700,-7.445609455,-46.78374548,36.4,58.3,-90.7,2.336478593,3.795572917,-5.382789318,42.03341303,45.06888335,44.4834459,43.61564277,31.46014113,-75.59332906,-68.3287433,-559.0346724,-68.3287433,1837.962669,1854.999169,,1.575949367,0,
15-05-2009,1580,1604.9,1565,1594.3,131900,1515.94,,1676.4,1628.351,1631.107193,1686.31,1627.257131,1628.351,1631.107193,1678.534331,5288800.813,-289815.8358,6651600,-10.93316308,-46.2337582,-3.1,79.9,-9.8,-0.19278607,5.239344262,-0.606923887,44.09598255,46.43002714,45.40448066,44.38763811,28.04264949,-85.70909091,-70.35820896,39734.22942,-68.3287433,1833.298373,1822.629374,,3.048800286,1,
14-05-2009,1539.95,1586.9,1533.6,1566.15,86200,1489.17,,1595.366667,1614.534,1623.069521,1679.386,1607.078566,1614.534,1623.069521,1671.485536,5307884.49,-248175.1763,6565400,-15.19357701,-46.71187348,-243.1,29,-38.1,-13.28415301,1.861480198,-2.344615385,40.43153126,44.1099684,44.0263502,43.30338856,25.56383182,-54.34782609,-84.62155228,25773.63678,-76.48934628,1830.611169,1800.325169,,0.680100756,0,
13-05-2009,1588,1598.8,1558,1573.85,136800,1496.49,,1596.866667,1609.289333,1618.656881,1673.55,1602.939283,1609.289333,1618.656881,1665.894341,5277372.726,-218287.2702,6702200,-15.4818477,-45.60484844,4.5,-9.2,-29.9,0.282255535,-0.572139303,-1.835819979,44.96677476,46.32635543,45.24711109,44.27254868,19.53328697,-43.5483871,-86.42037787,41231.09821,-74.25713872,1830.368683,1796.678016,,7,1,
